# OPS-CI-PR-TRAILER-RANGE-001 — post-merge branch-ci.yml run audit
#
# Source : GitHub Actions API,
#          repos/ajoe734/pantheon/actions/workflows/branch-ci.yml/runs
# Window : created_at in [2026-07-26T21:43:27Z, 2026-07-26T23:19:29Z]
#          lower bound = PR #4217 merged_at, upper bound = last run of the
#          audited fleet burst. Both bounds inclusive.
# Rows   : every run in the window, no sampling, no truncation. 53 runs.
#
# head_has_fix_merge    : `git merge-base --is-ancestor 71aea154b <head_sha>`
#                         i.e. does the run's head commit already contain the
#                         PR #4217 merge?
# workflow_file_version : which branch-ci.yml / resolver actually executed,
#                         read out of the run's `Commit trailers` job log.
#                         `repaired` = the job printed the new
#                         `[range] event=... resolved=...` line.
#                         `pre-fix`  = no `[range]` line; the range was taken
#                         from the pre-#4217 resolver invocation.
#                         A `pull_request` run is `repaired` even when its head
#                         predates the merge, because GitHub runs the workflow
#                         file from refs/pull/N/merge (base + head), and dev
#                         already carried the fix.
# resolved_range        : the range handed to check_commit_trailers.py.
#
run_id	created_at	event	conclusion	branch	head_sha	head_has_fix_merge	workflow_file_version	resolved_range
30221668884	2026-07-26T21:43:30Z	push	success	dev	71aea154b	yes	repaired	6445eacd603f0bcfb8893508fbffe341a67dd309..71aea154b8a1ab6e652e02018f47c57f26513de0
30221669820	2026-07-26T21:43:31Z	push	success	task/OPS-L12-RUNTIME-GAP-DELTA-001	5c39428dd	no	pre-fix	6445eacd603f0bcfb8893508fbffe341a67dd309..5c39428dda1d3c1e42fa926aa5f320467e1b8324
30221671216	2026-07-26T21:43:34Z	pull_request	success	task/OPS-L12-RUNTIME-GAP-DELTA-001	5c39428dd	no	repaired	origin/dev..5c39428dda1d3c1e42fa926aa5f320467e1b8324
30221804623	2026-07-26T21:47:36Z	push	success	task/OPS-L12-RUNTIME-GAP-DELTA-001	0bb6d7ffb	no	pre-fix	5c39428dda1d3c1e42fa926aa5f320467e1b8324..0bb6d7ffbef956a57f3a3b300056f77088837f2a
30221806024	2026-07-26T21:47:39Z	pull_request	success	task/OPS-L12-RUNTIME-GAP-DELTA-001	0bb6d7ffb	no	repaired	origin/dev..0bb6d7ffbef956a57f3a3b300056f77088837f2a
30222032719	2026-07-26T21:54:22Z	push	success	task/OPS-L12-TELEMETRY-DISCOVERY-IMPORT-001	28e62b8f2	yes	repaired	origin/dev..28e62b8f25b184044a002aeb8b1c93b5c622ae30
30222034264	2026-07-26T21:54:24Z	pull_request	success	task/OPS-L12-TELEMETRY-DISCOVERY-IMPORT-001	28e62b8f2	yes	repaired	origin/dev..28e62b8f25b184044a002aeb8b1c93b5c622ae30
30222074393	2026-07-26T21:55:34Z	push	success	dev	55b17612e	yes	repaired	71aea154b8a1ab6e652e02018f47c57f26513de0..55b17612ed150f52a518a4e8c4c6e75502830f6b
30222138131	2026-07-26T21:57:27Z	push	success	task/SUP-WORKER-TRUTH-RECONCILE-001	2d97f80e8	no	pre-fix	aa70767538baefc1a331b5e7ef51a0cad903c6b9..2d97f80e8965ae28859672a6d2b75261565fc727
30222139919	2026-07-26T21:57:30Z	pull_request	success	task/SUP-WORKER-TRUTH-RECONCILE-001	2d97f80e8	no	repaired	origin/dev..2d97f80e8965ae28859672a6d2b75261565fc727
30222531649	2026-07-26T22:08:26Z	push	success	task/SUP-WORKER-TRUTH-RECONCILE-001	16d4e504a	yes	repaired	origin/dev..16d4e504ab90e04a46abc7f30923f0dfdf59659f
30222532696	2026-07-26T22:08:28Z	pull_request	success	task/SUP-WORKER-TRUTH-RECONCILE-001	16d4e504a	yes	repaired	origin/dev..16d4e504ab90e04a46abc7f30923f0dfdf59659f
30222566267	2026-07-26T22:09:31Z	push	success	dev	6578ef968	yes	repaired	55b17612ed150f52a518a4e8c4c6e75502830f6b..6578ef968f7e0374b046de0afb5b07ce2f81558e
30222784123	2026-07-26T22:15:51Z	push	success	task/OPS-TASK-STATE-NONTERMINAL-DROP-GUARD-001	fb5f8c58b	yes	repaired	origin/dev..fb5f8c58b30fb3bdcf6ad7be03c5e2281a7773a3
30222786033	2026-07-26T22:15:55Z	pull_request	success	task/OPS-TASK-STATE-NONTERMINAL-DROP-GUARD-001	fb5f8c58b	yes	repaired	origin/dev..fb5f8c58b30fb3bdcf6ad7be03c5e2281a7773a3
30222792583	2026-07-26T22:16:06Z	push	failure	task/L12-CAP-001	590512f55	yes	repaired	origin/dev..590512f55cefd13e071928cf5c9b062c5a39f0f4
